Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,upperband,middleband,lowerband,DEMA,EMA,HT_TRENDLINE,KAMA,MA,mama,fama,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,CDL2CROWS,CDL3INSIDE,CDL3OUTSIDE,CDLBELTHOLD,CDLCLOSINGMARUBOZU,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLINNECK,CDLINVERTEDHAMMER,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGSTAR,CDLPIERCING,CDLRICKSHAWMAN,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLUNIQUE3RIVER,CDLXSIDEGAP3METHODS,AD,ADOSC,OBV,HT_DCPERIOD,HT_DCPHASE,inphase,quadrature,sine,leadsine,HT_TRENDMODE,ATR,NATR,TRANGE,ADX,ADXR,APO,aroondown,aroonup,AROONOSC,BOP,CCI,CMO,DX,macd_x,macdsignal_x,macdhist_x,macd_y,macdsignal_y,macdhist_y,macd,macdsignal,macdhist,MFI,MINUS_DI,MINUS_DM,MOM,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI,slowk,slowd,fastk_x,fastd_x,fastk_y,fastd_y,TRIX,ULTOSC,WILLR
1419877800.0,307.55,308.2,310.75,306.0,310.65,309.75,308.42,8113742,2.5024263478e+14,69322,2459991,0.3032,310.142498781,307.58,305.017501219,32.5084306534,676.156715714,310.818181818,308.822647218,484.176666667,311.303235277,538.041783513,305.775,302.775,1632.35801793,-1632.35801793,484.176666667,307.198756131,87.3032376193,343.839166667,325.977311828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650211.20041,-10548337.0703,-55971457.0,24.0839986096,19.1686936685,3.5129194062,10.1639054836,0.328350591783,0.900080827372,0.0,40.4215685174,13.0497396343,4.75,70.442779074,66.9822184188,-3.90641025641,42.8571428571,14.2857142857,-28.5714285714,0.326315789474,21.2790741367,-69.6051879206,73.8411781987,-255.174869591,-334.701588946,79.5267193551,-3.90641025641,-232.246688034,228.340277778,-244.549612371,-320.4688974,75.9192850294,47.9088469982,68.8589625007,389.527013641,-0.8,10.3615803122,58.6142353741,-1.25912472856,-0.257607470617,-0.00257607470617,0.997423925294,99.7423925294,15.1974060397,52.0765027322,47.4353733857,63.3333333333,52.0765027322,100.0,99.673177374,-2.33101541708,33.7404988813,-27.8922345483
1419964200.0,309.75,310.05,312.95,310.0,312.75,311.85,311.43,6305857,1.9638502358e+14,55077,2487025,0.3944,312.702564848,308.51,304.317435152,28.5431734089,652.653056636,310.724090909,310.060912523,396.38,311.330573513,532.374003263,304.825,302.775,1578.54369722,-1578.54369722,396.38,308.321552874,98.0806913184,321.777916667,314.859462366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3253395.18346,-8110618.94166,-49665600.0,24.0759978921,33.9903356863,5.07190260468,-1.48765767145,0.559053058355,0.981594984949,0.0,37.7628850519,12.1093105826,3.2,70.6202197777,67.5077592575,-3.98012820513,35.7142857143,7.14285714286,-28.5714285714,0.610169491525,84.2053269501,-68.7791546512,72.9269489258,-237.799992215,-315.3212696,77.5212773851,-3.98012820513,-167.936858974,163.956730769,-227.878674013,-301.950852723,74.0721787095,45.3863365855,68.4420159852,361.703655524,16.25,10.715126855,56.6275042759,-1.28240875566,5.49729364005,0.0549729364005,1.0549729364,105.49729364,15.6104226744,65.1328315634,52.2744581885,86.1635220126,65.1328315634,100.0,99.673177374,-2.3702612168,44.7773649959,-21.236133122
1420050600.0,311.85,312.45,315.0,310.7,314.0,314.0,313.67,6138488,1.9254888637e+14,58688,1877677,0.3059,315.130472815,310.16,305.189527185,26.5207446511,630.804472337,310.533409091,311.665660265,309.83,311.464044837,526.851254302,304.8,301.95,1526.88194933,-1526.88194933,309.83,309.749095896,110.119019815,310.705208333,309.544623656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6536772.48579,-5331330.66178,-43527112.0,24.0794680662,47.6025851671,1.48836606598,-4.39250889561,0.738485764181,0.99896852201,0.0,35.3726789767,11.2651843875,4.3,70.7201425537,67.9646410945,-4.05993589744,28.5714285714,0.0,-28.5714285714,0.360465116279,124.862006856,-67.8776765001,72.0191386414,-221.305715157,-296.518158711,75.2124435545,-4.05993589744,-113.951353276,109.891417379,-212.046263647,-283.969934908,71.9236712606,43.2434642961,67.8475090273,335.86768013,12.25,11.0361658511,54.6326825419,-1.30657672154,4.05965202983,0.0405965202983,1.0405965203,104.05965203,16.0611617499,79.4619147449,65.5570830135,88.8888888889,79.4619147449,100.0,100.0,-2.40762734241,43.8514880615,-9.69899665552
1420137000.0,314.0,314.35,318.3,314.35,315.6,315.25,316.8,9935094,3.1473886299e+14,79553,4221685,0.4249,317.26125434,311.68,306.09874566,26.1035276231,610.446119283,310.325227273,311.758987961,310.435,313.357022419,473.477696331,305.425,302.65,1477.28667135,-1477.28667135,310.435,311.362216235,122.962976801,310.448125,309.894301075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1129063.09338,-5430317.47561,-33592018.0,24.0901848839,61.4170618876,1.38686270876,1.03738035957,0.878125484286,0.959229854641,0.0,33.153201907,10.5164795898,4.3,70.7021148168,68.3348790962,-2.76858974359,21.4285714286,100.0,78.5714285714,0.227848101266,169.439015563,-67.3181307026,70.4677542366,-205.761130964,-278.366753162,72.6056221976,-2.76858974359,-70.0157407407,67.2471509972,-197.118760531,-266.599700032,69.4809395016,49.2718155741,67.2187140963,311.877131549,8.15,11.6451324973,54.0303480746,-0.890001648533,2.65385867796,0.0265385867796,1.02653858678,102.653858678,16.3409346487,83.4185543113,76.0044335399,75.2032520325,83.4185543113,100.0,100.0,-2.44306703359,46.1115861728,-9.74440894569
1420396200.0,315.25,316.25,316.8,312.1,312.8,312.75,313.84,9136716,2.867431675e+14,88236,3845173,0.4208,316.474250924,312.72,308.965749076,26.6297569353,591.239918039,310.089318182,311.769983723,310.676666667,313.053511209,433.371650051,305.425,302.65,1429.6752045,-1429.6752045,310.676666667,312.595120021,135.699579912,310.12625,310.043655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5480476.14066,-7080182.06705,-42728734.0,24.1050550742,75.600181874,1.94645184009,2.31803980507,0.96858395054,0.86074041115,0.0,31.1208303422,9.95070514538,4.7,70.6992518489,68.7004252791,-2.11730769231,14.2857142857,92.8571428571,78.5714285714,-0.744680851064,115.003003003,-67.5510779813,70.6620332664,-191.436899691,-260.980782468,69.5438827764,-2.11730769231,-36.49002849,34.3727207977,-183.351925149,-249.950145056,66.5982199063,50.9501603232,67.009939971,291.850193581,8.6,11.519465414,50.1710374979,-0.68005781418,2.82755219464,0.0282755219464,1.02827552195,102.827552195,16.2244610094,72.990063234,78.6235107634,54.8780487805,72.990063234,89.8145408494,96.6048469498,-2.4765947547,45.8902681357,-17.731629393
1420482600.0,312.75,310.0,311.1,298.7,299.9,299.9,305.14,15329257,4.67760129725e+14,169268,7424847,0.4844,321.840356171,310.75,299.659643829,26.6766245979,572.443794294,309.788112648,311.624271714,310.378333333,306.476755605,401.647926439,307.575,302.65,1383.96819632,-1383.96819632,310.378333333,311.853775781,146.336999344,309.735625,309.348387097,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17842780.1729,-11044934.1314,-58057991.0,24.1223743734,81.3011078737,2.88149325574,5.48290235255,0.98849681141,0.805916834905,0.0,29.9014853177,9.97048526767,14.05,70.7814313748,69.088697516,-1.89038461539,7.14285714286,85.7142857143,78.5714285714,-0.814516129032,-112.079157029,-68.7827448765,71.8497652114,-179.057665507,-244.596159075,65.5384935688,-1.89038461539,-14.0971153846,12.2067307692,-171.428791673,-234.245874379,62.8170827063,52.5404660126,67.9622359186,284.403751183,-7.8,11.1327059162,46.5873919623,-0.608789357644,-2.53493662658,-0.0253493662658,0.974650633734,97.4650633734,15.6086275618,45.4012499309,67.2699558254,6.12244897959,45.4012499309,0.0,63.2715136165,-2.5083793763,37.5460819662,-58.785942492
1420569000.0,299.9,300.0,302.55,295.15,301.4,300.15,299.95,15046745,4.51324303375e+14,147185,5631400,0.3743,322.194542067,308.41,294.625457933,27.8861034801,554.876452727,309.244614625,311.53627588,310.235,306.160417824,399.260738724,307.575,306.725,1340.08946847,-1340.08946847,310.235,309.727345316,157.391866728,309.356875,308.688494624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-12556085.9837,-9980663.26734,-43011246.0,24.1409485737,94.1494478294,5.3614575903,4.75785622462,0.997378707228,0.654088247689,1.0,28.2942363665,9.42669877277,7.4,70.8807004716,69.4081244919,-1.47564102564,0.0,78.5714285714,78.5714285714,0.0202702702703,-202.35131397,-68.648623698,72.1711987305,-167.298349088,-229.136597078,61.8382479897,-1.47564102564,-2.87396723647,1.39832621083,-160.106904071,-219.418080317,59.3111762468,56.8132078765,67.5886824597,267.639197527,-7.05,10.9246611867,43.2597211079,-0.476370807699,-2.294921875,-0.02294921875,0.97705078125,97.705078125,15.675688151,27.5329232994,48.6414121548,21.5982721382,27.5329232994,9.15744097071,32.9906606067,-2.53838396912,40.1896821259,-78.4017278618
1420655400.0,300.15,305.0,306.5,302.35,305.25,304.85,304.55,8939749,2.7225926929e+14,85776,3656015,0.409,319.298427576,306.58,293.861572424,30.664695911,538.745713841,308.650543478,311.501773936,310.188333333,306.094896933,396.931592679,307.575,306.725,1297.96588973,-1297.96588973,310.188333333,307.646304968,169.504623084,309.027916667,308.341075269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,-10725053.056,-8055345.32167,-34071497.0,24.1597855804,111.506701482,6.36942226996,-2.58388265477,0.930374694565,0.398641804175,1.0,26.7267909117,8.76719400089,6.35,70.8068846379,69.6230332894,-1.18044871795,92.8571428571,71.4285714286,-21.4285714286,-0.0361445783132,-75.3633809698,-65.9783045389,69.8472787991,-155.803746777,-214.470027018,58.666280241,-1.18044871795,-2.7514957265,1.57104700855,-149.051367273,-205.344737708,56.2933704358,53.8529757948,66.4412673147,248.522111989,-0.9,11.7952140519,44.1197410287,-0.38173239968,-0.294358135732,-0.00294358135732,0.997056418643,99.7056418643,17.0108477305,23.207123022,32.0470987508,41.9006479482,23.207123022,100.0,36.3858136569,-2.56650882402,40.5438775688,-58.0993520518
1420741800.0,304.85,306.7,307.85,302.0,303.0,303.2,304.45,11953948,3.63936137255e+14,86383,4412814,0.3692,313.525768274,304.17,294.814231726,34.0315402926,523.549216174,308.097608696,311.450981928,310.1,305.950152087,394.657056664,307.575,306.725,1257.52725414,-1257.52725414,310.1,305.880579418,181.279759887,308.701458333,307.890215054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17774817.2611,-8778517.92537,-46025445.0,24.1780680643,140.064014496,5.2606186882,-10.675972887,0.641931335011,-0.0882687003138,1.0,25.2355915609,8.32308428789,5.85,70.6783677337,69.7928135123,-0.946474358975,85.7142857143,64.2857142857,-21.4285714286,-0.598290598291,-73.0513806361,-66.1807532752,69.0076479792,-145.154086883,-200.606838991,55.452752108,-0.946474358975,-2.48059116809,1.53411680912,-138.805873583,-192.036964883,53.2310913001,54.6898780893,65.3407483633,230.770532561,-4.45,11.982081869,42.3183309553,-0.306632524854,-1.44644888672,-0.0144644888672,0.985535511133,98.5535511133,16.9096233624,33.5604560411,28.1001674542,37.182448037,33.5604560411,92.7811359168,67.3128589625,-2.59276455063,38.7373808234,-65.2267818575
1421001000.0,303.2,304.15,307.8,301.1,306.9,307.1,305.86,8536142,2.6109063546e+14,71620,3737137,0.4378,308.553401854,303.04,297.526598146,38.585327976,509.584750615,307.782608696,311.35737071,309.623333333,306.007644482,392.44082136,307.575,306.725,1218.70616397,-1218.70616397,309.623333333,304.992294109,193.657189663,308.382083333,307.696666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11022346.7238,-6127800.82634,-37489303.0,24.1948422993,173.500835891,1.49986317441,-22.4054333779,0.113188718495,-0.622526054074,0.0,23.9116207351,7.78626529961,6.7,70.5668596943,69.9142507689,-0.326282051283,78.5714285714,57.1428571429,-21.4285714286,0.440298507463,-50.7666098807,-63.7011837873,69.1172551823,-134.845047514,-187.454480695,52.6094331813,-0.326282051283,-2.0827991453,1.75651709402,-128.896288092,-179.408829525,50.5125414328,53.7158644931,64.3015135498,215.186923093,-0.45,11.742191725,39.2955930299,-0.105880860111,-0.146317671923,-0.00146317671923,0.998536823281,99.8536823281,18.1494081063,51.3349086931,36.0341625854,74.921630094,51.3349086931,100.0,97.5937119723,-2.61707309248,41.2821786445,-48.3801295896
